_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2756,2013Q4,S08000030,"",S08000030,Head & Neck,"",340,"",279,""
2757,2013Q4,S08000030,"",S08000030,Lung,"",261,"",231,""
2758,2013Q4,S08000030,"",S08000030,Lymphoma,"",1,"",2,""
2759,2013Q4,S08000030,"",S08000030,Melanoma,"",340,"",331,""
2760,2013Q4,S08000030,"",S08000030,Ovarian,"",252,"",240,""
2761,2013Q4,S08000030,"",S08000030,Upper GI,"",185,"",161,""
2762,2013Q4,S08000030,"",S08000030,Urological,"",211,"",195,""
2763,2013Q4,S08000030,"",S08000030,All Cancer Types,d,133,"",107,""
2764,2013Q4,S08000031,"",S08000019,Breast,"",396,"",388,""
2765,2013Q4,S08000031,"",S08000019,All Cancer Types,d,396,"",388,""
2766,2013Q4,S08000031,"",S08000031,Breast,"",162,"",155,""
2767,2013Q4,S08000031,"",S08000031,Cervical,"",252,"",240,""
2768,2013Q4,S08000031,"",S08000031,Colorectal,"",386,"",368,""
2769,2013Q4,S08000031,"",S08000031,Head & Neck,"",269,"",246,""
2770,2013Q4,S08000031,"",S08000031,Lung,"",43,"",29,""
2771,2013Q4,S08000031,"",S08000031,Lymphoma,"",156,"",143,""
2772,2013Q4,S08000031,"",S08000031,Melanoma,"",70,"",67,""
2773,2013Q4,S08000031,"",S08000031,Ovarian,"",340,"",331,""
2774,2013Q4,S08000031,"",S08000031,Upper GI,"",338,"",311,""
2775,2013Q4,S08000031,"",S08000031,Urological,"",10,"",395,""
2776,2013Q4,S08000031,"",S08000031,All Cancer Types,d,350,"",330,""
2777,2013Q4,S08000031,"",S08000032,Breast,"",368,"",369,""
2778,2013Q4,S08000031,"",S08000032,All Cancer Types,d,368,"",369,""
2779,2013Q4,S08000031,"",SB0801,Lung,"",70,"",34,""
2780,2013Q4,S08000031,"",SB0801,Urological,"",1,"",2,""
2781,2013Q4,S08000031,"",SB0801,All Cancer Types,d,81,"",45,""
2782,2013Q4,S08000032,"",S08000031,Cervical,"",252,"",240,""
2783,2013Q4,S08000032,"",S08000031,Colorectal,"",252,"",203,""
2784,2013Q4,S08000032,"",S08000031,Head & Neck,"",113,"",109,""
2785,2013Q4,S08000032,"",S08000031,Lung,"",2,"",3,""
2786,2013Q4,S08000032,"",S08000031,Melanoma,"",203,"",203,""
2787,2013Q4,S08000032,"",S08000031,Ovarian,"",368,"",369,""
2788,2013Q4,S08000032,"",S08000031,Urological,"",1,"",2,""
2789,2013Q4,S08000032,"",S08000031,All Cancer Types,d,219,"",211,""
2790,2013Q4,S08000032,"",S08000032,Breast,"",287,"",283,""
2791,2013Q4,S08000032,"",S08000032,Cervical,"",113,"",109,""
2792,2013Q4,S08000032,"",S08000032,Colorectal,"",285,"",276,""
2793,2013Q4,S08000032,"",S08000032,Head & Neck,"",368,"",369,""
2794,2013Q4,S08000032,"",S08000032,Lung,"",156,"",143,""
2795,2013Q4,S08000032,"",S08000032,Lymphoma,"",17,"",14,""
2796,2013Q4,S08000032,"",S08000032,Melanoma,"",70,"",45,""
2797,2013Q4,S08000032,"",S08000032,Upper GI,"",156,"",143,""
2798,2013Q4,S08000032,"",S08000032,Urological,"",166,"",161,""
2799,2013Q4,S08000032,"",S08000032,All Cancer Types,d,126,"",117,""
2800,2013Q4,S08000032,"",SB0801,Lung,"",316,"",240,""
2801,2013Q4,S08000032,"",SB0801,All Cancer Types,d,316,"",240,""
2802,2013Q4,S92000003,d,S08000015,Breast,"",369,"",370,""
2803,2013Q4,S92000003,d,S08000015,Colorectal,"",248,"",234,""
2804,2013Q4,S92000003,d,S08000015,Head & Neck,"",252,"",240,""
2805,2013Q4,S92000003,d,S08000015,Lung,"",310,"",302,""
2806,2013Q4,S92000003,d,S08000015,Lymphoma,"",203,"",203,""
2807,2013Q4,S92000003,d,S08000015,Melanoma,"",340,"",331,""
2808,2013Q4,S92000003,d,S08000015,Ovarian,"",284,"",279,""
2809,2013Q4,S92000003,d,S08000015,Upper GI,"",17,"",14,""
2810,2013Q4,S92000003,d,S08000015,Urological,"",263,"",238,""
2811,2013Q4,S92000003,d,S08000015,All Cancer Types,d,167,"",158,""
2812,2013Q4,S92000003,d,S08000016,Breast,"",17,"",14,""
2813,2013Q4,S92000003,d,S08000016,Cervical,"",203,"",203,""
2814,2013Q4,S92000003,d,S08000016,Colorectal,"",39,"",34,""
2815,2013Q4,S92000003,d,S08000016,Head & Neck,"",113,"",2,""
2816,2013Q4,S92000003,d,S08000016,Lung,"",17,"",14,""
2817,2013Q4,S92000003,d,S08000016,Lymphoma,"",113,"",109,""
2818,2013Q4,S92000003,d,S08000016,Melanoma,"",203,"",203,""
2819,2013Q4,S92000003,d,S08000016,Ovarian,"",252,"",240,""
2820,2013Q4,S92000003,d,S08000016,Upper GI,"",2,"",3,""
2821,2013Q4,S92000003,d,S08000016,Urological,"",29,"",24,""
2822,2013Q4,S92000003,d,S08000016,All Cancer Types,d,345,"",332,""
2823,2013Q4,S92000003,d,S08000017,Breast,"",340,"",331,""
2824,2013Q4,S92000003,d,S08000017,Colorectal,"",2,"",3,""
2825,2013Q4,S92000003,d,S08000017,Head & Neck,"",1,"",2,""
2826,2013Q4,S92000003,d,S08000017,Lung,"",396,"",388,""
2827,2013Q4,S92000003,d,S08000017,Lymphoma,"",113,"",109,""
2828,2013Q4,S92000003,d,S08000017,Melanoma,"",203,"",203,""
2829,2013Q4,S92000003,d,S08000017,Ovarian,"",113,"",109,""
2830,2013Q4,S92000003,d,S08000017,Upper GI,"",340,"",331,""
2831,2013Q4,S92000003,d,S08000017,Urological,"",2,"",3,""
2832,2013Q4,S92000003,d,S08000017,All Cancer Types,d,287,"",283,""
2833,2013Q4,S92000003,d,S08000019,Breast,"",285,"",280,""
2834,2013Q4,S92000003,d,S08000019,Cervical,"",113,"",109,""
2835,2013Q4,S92000003,d,S08000019,Colorectal,"",48,"",45,""
2836,2013Q4,S92000003,d,S08000019,Head & Neck,"",252,"",203,""
2837,2013Q4,S92000003,d,S08000019,Lung,"",185,"",180,""
2838,2013Q4,S92000003,d,S08000019,Lymphoma,"",316,"",306,""
2839,2013Q4,S92000003,d,S08000019,Melanoma,"",340,"",240,""
2840,2013Q4,S92000003,d,S08000019,Ovarian,"",113,"",109,""
2841,2013Q4,S92000003,d,S08000019,Upper GI,"",135,"",121,""
2842,2013Q4,S92000003,d,S08000019,Urological,"",219,"",204,""
2843,2013Q4,S92000003,d,S08000019,All Cancer Types,d,77,"",66,""
2844,2013Q4,S92000003,d,S08000020,Breast,"",409,"",393,""
2845,2013Q4,S92000003,d,S08000020,Cervical,"",113,"",109,""
2846,2013Q4,S92000003,d,S08000020,Colorectal,"",271,"",243,""
2847,2013Q4,S92000003,d,S08000020,Head & Neck,"",368,"",369,""
2848,2013Q4,S92000003,d,S08000020,Lung,"",329,"",307,""
2849,2013Q4,S92000003,d,S08000020,Lymphoma,"",48,"",14,""
2850,2013Q4,S92000003,d,S08000020,Melanoma,"",17,"",306,""
2851,2013Q4,S92000003,d,S08000020,Ovarian,"",2,"",331,""
2852,2013Q4,S92000003,d,S08000020,Upper GI,"",248,"",238,""
2853,2013Q4,S92000003,d,S08000020,Urological,"",253,"",233,""
2854,2013Q4,S92000003,d,S08000020,All Cancer Types,d,225,"",208,""
2855,2013Q4,S92000003,d,S08000022,Breast,"",294,"",290,""
2856,2013Q4,S92000003,d,S08000022,Cervical,"",203,"",203,""
2857,2013Q4,S92000003,d,S08000022,Colorectal,"",124,"",88,""
2858,2013Q4,S92000003,d,S08000022,Head & Neck,"",316,"",306,""
2859,2013Q4,S92000003,d,S08000022,Lung,"",253,"",233,""
2860,2013Q4,S92000003,d,S08000022,Lymphoma,"",284,"",279,""
2861,2013Q4,S92000003,d,S08000022,Melanoma,"",368,"",369,""
2862,2013Q4,S92000003,d,S08000022,Ovarian,"",113,"",109,""
2863,2013Q4,S92000003,d,S08000022,Upper GI,"",70,"",67,""
2864,2013Q4,S92000003,d,S08000022,Urological,"",59,"",34,""
2865,2013Q4,S92000003,d,S08000022,All Cancer Types,d,80,"",69,""
2866,2013Q4,S92000003,d,S08000024,Breast,"",88,"",85,""
2867,2013Q4,S92000003,d,S08000024,Cervical,"",91,"",78,""
2868,2013Q4,S92000003,d,S08000024,Colorectal,"",15,"",8,""
2869,2013Q4,S92000003,d,S08000024,Head & Neck,"",124,"",99,""
2870,2013Q4,S92000003,d,S08000024,Lung,"",3,"",375,""
2871,2013Q4,S92000003,d,S08000024,Lymphoma,"",156,"",110,""
2872,2013Q4,S92000003,d,S08000024,Melanoma,"",91,"",78,""
2873,2013Q4,S92000003,d,S08000024,Ovarian,"",17,"",14,""
2874,2013Q4,S92000003,d,S08000024,Upper GI,"",281,"",267,""
2875,2013Q4,S92000003,d,S08000024,Urological,"",363,"",363,""
2876,2013Q4,S92000003,d,S08000024,All Cancer Types,d,319,"",300,""
2877,2013Q4,S92000003,d,S08000025,Colorectal,"",1,"",2,""
2878,2013Q4,S92000003,d,S08000025,Urological,"",113,"",109,""
2879,2013Q4,S92000003,d,S08000025,All Cancer Types,d,203,"",203,""
2880,2013Q4,S92000003,d,S08000026,Breast,"",113,"",109,""
2881,2013Q4,S92000003,d,S08000026,Colorectal,"",252,"",240,""
2882,2013Q4,S92000003,d,S08000026,Upper GI,"",113,"",109,""
2883,2013Q4,S92000003,d,S08000026,Urological,"",252,"",240,""
2884,2013Q4,S92000003,d,S08000026,All Cancer Types,d,29,"",24,""
2885,2013Q4,S92000003,d,S08000028,Colorectal,"",252,"",240,""
2886,2013Q4,S92000003,d,S08000028,Lung,"",1,"",2,""
2887,2013Q4,S92000003,d,S08000028,Lymphoma,"",1,"",2,""
2888,2013Q4,S92000003,d,S08000028,Melanoma,"",1,"",2,""
2889,2013Q4,S92000003,d,S08000028,Upper GI,"",1,"",2,""
2890,2013Q4,S92000003,d,S08000028,All Cancer Types,d,368,"",369,""
2891,2013Q4,S92000003,d,S08000029,Breast,"",102,"",99,""
2892,2013Q4,S92000003,d,S08000029,Colorectal,"",145,"",132,""
2893,2013Q4,S92000003,d,S08000029,Head & Neck,"",1,"",2,""
2894,2013Q4,S92000003,d,S08000029,Lung,"",211,"",204,""
2895,2013Q4,S92000003,d,S08000029,Melanoma,"",113,"",109,""
2896,2013Q4,S92000003,d,S08000029,Ovarian,"",1,"",2,""
2897,2013Q4,S92000003,d,S08000029,Upper GI,"",59,"",56,""
2898,2013Q4,S92000003,d,S08000029,Urological,"",166,"",143,""
2899,2013Q4,S92000003,d,S08000029,All Cancer Types,d,26,"",18,""
2900,2013Q4,S92000003,d,S08000030,Breast,"",292,"",276,""
2901,2013Q4,S92000003,d,S08000030,Cervical,"",284,"",240,""
2902,2013Q4,S92000003,d,S08000030,Colorectal,"",261,"",233,""
2903,2013Q4,S92000003,d,S08000030,Head & Neck,"",340,"",279,""
2904,2013Q4,S92000003,d,S08000030,Lung,"",261,"",231,""
2905,2013Q4,S92000003,d,S08000030,Lymphoma,"",1,"",2,""
2906,2013Q4,S92000003,d,S08000030,Melanoma,"",340,"",331,""
2907,2013Q4,S92000003,d,S08000030,Ovarian,"",252,"",240,""
2908,2013Q4,S92000003,d,S08000030,Upper GI,"",185,"",161,""
2909,2013Q4,S92000003,d,S08000030,Urological,"",211,"",195,""
2910,2013Q4,S92000003,d,S08000030,All Cancer Types,d,133,"",107,""
2911,2013Q4,S92000003,d,S08000031,Breast,"",168,"",159,""
2912,2013Q4,S92000003,d,S08000031,Cervical,"",396,"",388,""
2913,2013Q4,S92000003,d,S08000031,Colorectal,"",404,"",380,""
2914,2013Q4,S92000003,d,S08000031,Head & Neck,"",306,"",283,""
2915,2013Q4,S92000003,d,S08000031,Lung,"",77,"",62,""
2916,2013Q4,S92000003,d,S08000031,Lymphoma,"",166,"",153,""
2917,2013Q4,S92000003,d,S08000031,Melanoma,"",114,"",110,""
2918,2013Q4,S92000003,d,S08000031,Ovarian,"",145,"",143,""
2919,2013Q4,S92000003,d,S08000031,Upper GI,"",359,"",335,""
2920,2013Q4,S92000003,d,S08000031,Urological,"",19,"",4,""
2921,2013Q4,S92000003,d,S08000031,All Cancer Types,d,380,"",365,""
2922,2013Q4,S92000003,d,S08000032,Breast,"",317,"",307,""
2923,2013Q4,S92000003,d,S08000032,Cervical,"",113,"",109,""
2924,2013Q4,S92000003,d,S08000032,Colorectal,"",285,"",276,""
2925,2013Q4,S92000003,d,S08000032,Head & Neck,"",368,"",369,""
2926,2013Q4,S92000003,d,S08000032,Lung,"",156,"",143,""
2927,2013Q4,S92000003,d,S08000032,Lymphoma,"",17,"",14,""
2928,2013Q4,S92000003,d,S08000032,Melanoma,"",70,"",45,""
2929,2013Q4,S92000003,d,S08000032,Upper GI,"",156,"",143,""
2930,2013Q4,S92000003,d,S08000032,Urological,"",166,"",161,""
2931,2013Q4,S92000003,d,S08000032,All Cancer Types,d,136,"",127,""
2932,2013Q4,S92000003,d,SB0801,Lung,"",240,"",204,""
2933,2013Q4,S92000003,d,SB0801,Urological,"",1,"",2,""
2934,2013Q4,S92000003,d,SB0801,All Cancer Types,d,243,"",211,""
2935,2014Q1,S08000015,"",S08000015,Breast,"",334,"",322,""
2936,2014Q1,S08000015,"",S08000015,Cervical,"",203,"",203,""
2937,2014Q1,S08000015,"",S08000015,Colorectal,"",219,"",217,""
2938,2014Q1,S08000015,"",S08000015,Head & Neck,"",340,"",331,""
2939,2014Q1,S08000015,"",S08000015,Lung,"",269,"",258,""
2940,2014Q1,S08000015,"",S08000015,Lymphoma,"",252,"",240,""
2941,2014Q1,S08000015,"",S08000015,Melanoma,"",284,"",279,""
2942,2014Q1,S08000015,"",S08000015,Ovarian,"",1,"",2,""
2943,2014Q1,S08000015,"",S08000015,Upper GI,"",114,"",99,""
2944,2014Q1,S08000015,"",S08000015,Urological,"",175,"",153,""
2945,2014Q1,S08000015,"",S08000015,All Cancer Types,d,125,"",118,""
2946,2014Q1,S08000015,"",S08000017,Breast,"",113,"",109,""
2947,2014Q1,S08000015,"",S08000017,All Cancer Types,d,113,"",109,""
2948,2014Q1,S08000015,"",S08000031,Breast,"",113,"",109,""
2949,2014Q1,S08000015,"",S08000031,Cervical,"",1,"",2,""
2950,2014Q1,S08000015,"",S08000031,Head & Neck,"",1,"",1,""
2951,2014Q1,S08000015,"",S08000031,Lung,"",70,"",56,""
2952,2014Q1,S08000015,"",S08000031,Melanoma,"",1,"",2,""
2953,2014Q1,S08000015,"",S08000031,Ovarian,"",340,"",306,""
2954,2014Q1,S08000015,"",S08000031,Upper GI,"",203,"",203,""
2955,2014Q1,S08000015,"",S08000031,Urological,"",203,"",1,""
2956,2014Q1,S08000015,"",S08000031,All Cancer Types,d,228,"",187,""
2957,2014Q1,S08000015,"",SB0801,Lung,"",316,"",240,""
2958,2014Q1,S08000015,"",SB0801,All Cancer Types,d,316,"",240,""
2959,2014Q1,S08000016,"",S08000015,Colorectal,"",1,"",2,""
2960,2014Q1,S08000016,"",S08000015,All Cancer Types,d,1,"",2,""
2961,2014Q1,S08000016,"",S08000016,Breast,"",252,"",240,""
2962,2014Q1,S08000016,"",S08000016,Colorectal,"",17,"",14,""
2963,2014Q1,S08000016,"",S08000016,Lung,"",316,"",306,""
2964,2014Q1,S08000016,"",S08000016,Lymphoma,"",203,"",203,""
2965,2014Q1,S08000016,"",S08000016,Melanoma,"",203,"",203,""
2966,2014Q1,S08000016,"",S08000016,Ovarian,"",252,"",240,""
2967,2014Q1,S08000016,"",S08000016,Upper GI,"",252,"",240,""
2968,2014Q1,S08000016,"",S08000016,Urological,"",368,"",331,""
2969,2014Q1,S08000016,"",S08000016,All Cancer Types,d,263,"",246,""
2970,2014Q1,S08000016,"",S08000024,Colorectal,"",203,"",203,""
2971,2014Q1,S08000016,"",S08000024,Head & Neck,"",1,"",2,""
2972,2014Q1,S08000016,"",S08000024,Lung,"",316,"",306,""
2973,2014Q1,S08000016,"",S08000024,Melanoma,"",1,"",2,""
2974,2014Q1,S08000016,"",S08000024,Upper GI,"",252,"",240,""
2975,2014Q1,S08000016,"",S08000024,Urological,"",113,"",2,""
2976,2014Q1,S08000016,"",S08000024,All Cancer Types,d,81,"",67,""
2977,2014Q1,S08000017,"",S08000017,Breast,"",17,"",14,""
2978,2014Q1,S08000017,"",S08000017,Cervical,"",1,"",2,""
2979,2014Q1,S08000017,"",S08000017,Colorectal,"",2,"",3,""
2980,2014Q1,S08000017,"",S08000017,Lung,"",203,"",203,""
2981,2014Q1,S08000017,"",S08000017,Lymphoma,"",252,"",240,""
2982,2014Q1,S08000017,"",S08000017,Melanoma,"",252,"",240,""
2983,2014Q1,S08000017,"",S08000017,Upper GI,"",48,"",45,""
2984,2014Q1,S08000017,"",S08000017,Urological,"",48,"",45,""
2985,2014Q1,S08000017,"",S08000017,All Cancer Types,d,320,"",308,""
2986,2014Q1,S08000017,"",S08000024,Cervical,"",1,"",2,""
2987,2014Q1,S08000017,"",S08000024,Head & Neck,"",1,"",2,""
2988,2014Q1,S08000017,"",S08000024,Lung,"",368,"",369,""
2989,2014Q1,S08000017,"",S08000024,Ovarian,"",1,"",2,""
2990,2014Q1,S08000017,"",S08000024,Upper GI,"",203,"",203,""
2991,2014Q1,S08000017,"",S08000024,Urological,"",284,"",109,""
2992,2014Q1,S08000017,"",S08000024,All Cancer Types,d,102,"",67,""
2993,2014Q1,S08000017,"",S08000031,Head & Neck,"",1,"",2,""
2994,2014Q1,S08000017,"",S08000031,All Cancer Types,d,1,"",2,""
2995,2014Q1,S08000019,"",S08000019,Breast,"",211,"",211,""
2996,2014Q1,S08000019,"",S08000019,Cervical,"",1,"",2,""
2997,2014Q1,S08000019,"",S08000019,Colorectal,"",166,"",110,""
2998,2014Q1,S08000019,"",S08000019,Head & Neck,"",203,"",203,""
2999,2014Q1,S08000019,"",S08000019,Lung,"",114,"",110,""
3000,2014Q1,S08000019,"",S08000019,Lymphoma,"",203,"",203,""
3001,2014Q1,S08000019,"",S08000019,Melanoma,"",252,"",203,""
3002,2014Q1,S08000019,"",S08000019,Ovarian,"",1,"",1,""
3003,2014Q1,S08000019,"",S08000019,Upper GI,"",2,"",3,""
3004,2014Q1,S08000019,"",S08000019,Urological,"",233,"",187,""
3005,2014Q1,S08000019,"",S08000019,All Cancer Types,d,42,"",23,""
3006,2014Q1,S08000019,"",S08000031,Breast,"",1,"",2,""
3007,2014Q1,S08000019,"",S08000031,Colorectal,"",17,"",306,""
3008,2014Q1,S08000019,"",S08000031,Head & Neck,"",284,"",279,""
3009,2014Q1,S08000019,"",S08000031,Lung,"",368,"",306,""
3010,2014Q1,S08000019,"",S08000031,Lymphoma,"",1,"",2,""
3011,2014Q1,S08000019,"",S08000031,Ovarian,"",284,"",279,""
3012,2014Q1,S08000019,"",S08000031,Upper GI,"",113,"",109,""
3013,2014Q1,S08000019,"",S08000031,Urological,"",316,"",279,""
3014,2014Q1,S08000019,"",S08000031,All Cancer Types,d,248,"",211,""
3015,2014Q1,S08000019,"",SB0801,Lung,"",252,"",240,""
3016,2014Q1,S08000019,"",SB0801,All Cancer Types,d,252,"",240,""
3017,2014Q1,S08000020,"",S08000020,Breast,"",363,"",354,""
3018,2014Q1,S08000020,"",S08000020,Cervical,"",316,"",306,""
3019,2014Q1,S08000020,"",S08000020,Colorectal,"",248,"",204,""
3020,2014Q1,S08000020,"",S08000020,Head & Neck,"",340,"",203,""
3021,2014Q1,S08000020,"",S08000020,Lung,"",329,"",308,""
3022,2014Q1,S08000020,"",S08000020,Lymphoma,"",340,"",331,""
3023,2014Q1,S08000020,"",S08000020,Melanoma,"",48,"",3,""
3024,2014Q1,S08000020,"",S08000020,Ovarian,"",252,"",203,""
3025,2014Q1,S08000020,"",S08000020,Upper GI,"",265,"",246,""
3026,2014Q1,S08000020,"",S08000020,Urological,"",223,"",78,""
3027,2014Q1,S08000020,"",S08000020,All Cancer Types,d,202,"",167,""
3028,2014Q1,S08000022,"",S08000019,Breast,"",1,"",2,""
3029,2014Q1,S08000022,"",S08000019,All Cancer Types,d,1,"",2,""
3030,2014Q1,S08000022,"",S08000020,Lung,"",113,"",109,""
3031,2014Q1,S08000022,"",S08000020,All Cancer Types,d,113,"",109,""
3032,2014Q1,S08000022,"",S08000022,Breast,"",317,"",297,""
3033,2014Q1,S08000022,"",S08000022,Cervical,"",252,"",203,""
3034,2014Q1,S08000022,"",S08000022,Colorectal,"",135,"",88,""
3035,2014Q1,S08000022,"",S08000022,Head & Neck,"",252,"",240,""
3036,2014Q1,S08000022,"",S08000022,Lung,"",211,"",211,""
3037,2014Q1,S08000022,"",S08000022,Lymphoma,"",284,"",279,""
3038,2014Q1,S08000022,"",S08000022,Melanoma,"",48,"",45,""
3039,2014Q1,S08000022,"",S08000022,Ovarian,"",113,"",2,""
3040,2014Q1,S08000022,"",S08000022,Upper GI,"",39,"",3,""
3041,2014Q1,S08000022,"",S08000022,Urological,"",81,"",24,""
3042,2014Q1,S08000022,"",S08000022,All Cancer Types,d,84,"",61,""
3043,2014Q1,S08000022,"",S08000024,Ovarian,"",1,"",2,""
3044,2014Q1,S08000022,"",S08000024,All Cancer Types,d,1,"",2,""
3045,2014Q1,S08000022,"",S08000028,Urological,"",1,"",2,""
3046,2014Q1,S08000022,"",S08000028,All Cancer Types,d,1,"",2,""
3047,2014Q1,S08000022,"",S08000031,Colorectal,"",1,"",2,""
3048,2014Q1,S08000022,"",S08000031,Head & Neck,"",113,"",109,""
3049,2014Q1,S08000022,"",S08000031,All Cancer Types,d,203,"",203,""
3050,2014Q1,S08000024,"",S08000024,Breast,"",57,"",54,""
3051,2014Q1,S08000024,"",S08000024,Cervical,"",59,"",56,""
3052,2014Q1,S08000024,"",S08000024,Colorectal,"",362,"",337,""
3053,2014Q1,S08000024,"",S08000024,Head & Neck,"",48,"",24,""
3054,2014Q1,S08000024,"",S08000024,Lung,"",327,"",254,""
3055,2014Q1,S08000024,"",S08000024,Lymphoma,"",70,"",56,""
3056,2014Q1,S08000024,"",S08000024,Melanoma,"",396,"",388,""
3057,2014Q1,S08000024,"",S08000024,Ovarian,"",203,"",109,""
3058,2014Q1,S08000024,"",S08000024,Upper GI,"",219,"",217,""
3059,2014Q1,S08000024,"",S08000024,Urological,"",341,"",325,""
3060,2014Q1,S08000024,"",S08000024,All Cancer Types,d,268,"",244,""
3061,2014Q1,S08000024,"",S08000029,Breast,"",203,"",203,""
3062,2014Q1,S08000024,"",S08000029,All Cancer Types,d,203,"",203,""
3063,2014Q1,S08000025,"",S08000020,Breast,"",1,"",2,""
3064,2014Q1,S08000025,"",S08000020,Colorectal,"",113,"",109,""
3065,2014Q1,S08000025,"",S08000020,Upper GI,"",1,"",2,""
3066,2014Q1,S08000025,"",S08000020,All Cancer Types,d,252,"",240,""
3067,2014Q1,S08000025,"",S08000025,Colorectal,"",1,"",2,""
3068,2014Q1,S08000025,"",S08000025,All Cancer Types,d,1,"",2,""
3069,2014Q1,S08000026,"",S08000020,Colorectal,"",1,"",1,""
3070,2014Q1,S08000026,"",S08000020,Head & Neck,"",1,"",2,""
3071,2014Q1,S08000026,"",S08000020,Lymphoma,"",1,"",2,""
3072,2014Q1,S08000026,"",S08000020,Upper GI,"",113,"",2,""
3073,2014Q1,S08000026,"",S08000020,All Cancer Types,d,284,"",203,""
3074,2014Q1,S08000026,"",S08000026,Colorectal,"",203,"",203,""
3075,2014Q1,S08000026,"",S08000026,Lung,"",1,"",2,""
3076,2014Q1,S08000026,"",S08000026,Ovarian,"",1,"",2,""
3077,2014Q1,S08000026,"",S08000026,Upper GI,"",1,"",2,""
3078,2014Q1,S08000026,"",S08000026,Urological,"",252,"",240,""
3079,2014Q1,S08000026,"",S08000026,All Cancer Types,d,2,"",3,""
3080,2014Q1,S08000028,"",S08000022,Colorectal,"",113,"",109,""
3081,2014Q1,S08000028,"",S08000022,Lung,"",203,"",109,""
3082,2014Q1,S08000028,"",S08000022,Upper GI,"",1,"",2,""
3083,2014Q1,S08000028,"",S08000022,Urological,"",1,"",2,""
3084,2014Q1,S08000028,"",S08000022,All Cancer Types,d,340,"",306,""
3085,2014Q1,S08000028,"",S08000028,Lung,"",203,"",203,""
3086,2014Q1,S08000028,"",S08000028,Melanoma,"",1,"",2,""
3087,2014Q1,S08000028,"",S08000028,All Cancer Types,d,252,"",240,""
3088,2014Q1,S08000028,"",SB0801,Lung,"",1,"",2,""
3089,2014Q1,S08000028,"",SB0801,All Cancer Types,d,1,"",2,""
3090,2014Q1,S08000029,"",S08000024,Cervical,"",113,"",2,""
3091,2014Q1,S08000029,"",S08000024,Colorectal,"",1,"",2,""
3092,2014Q1,S08000029,"",S08000024,Head & Neck,"",1,"",2,""
3093,2014Q1,S08000029,"",S08000024,Lung,"",102,"",24,""
3094,2014Q1,S08000029,"",S08000024,Ovarian,"",1,"",2,""
3095,2014Q1,S08000029,"",S08000024,Upper GI,"",203,"",203,""
3096,2014Q1,S08000029,"",S08000024,Urological,"",113,"",2,""
3097,2014Q1,S08000029,"",S08000024,All Cancer Types,d,198,"",110,""
3098,2014Q1,S08000029,"",S08000029,Breast,"",102,"",99,""
3099,2014Q1,S08000029,"",S08000029,Cervical,"",203,"",203,""
3100,2014Q1,S08000029,"",S08000029,Colorectal,"",211,"",204,""
3101,2014Q1,S08000029,"",S08000029,Head & Neck,"",1,"",2,""
3102,2014Q1,S08000029,"",S08000029,Lung,"",175,"",153,""
3103,2014Q1,S08000029,"",S08000029,Lymphoma,"",316,"",306,""
3104,2014Q1,S08000029,"",S08000029,Melanoma,"",1,"",2,""
3105,2014Q1,S08000029,"",S08000029,Ovarian,"",203,"",203,""
3106,2014Q1,S08000029,"",S08000029,Upper GI,"",124,"",110,""
3107,2014Q1,S08000029,"",S08000029,Urological,"",240,"",226,""
3108,2014Q1,S08000029,"",S08000029,All Cancer Types,d,57,"",47,""
3109,2014Q1,S08000029,"",S08000030,Melanoma,"",1,"",2,""
3110,2014Q1,S08000029,"",S08000030,All Cancer Types,d,1,"",2,""
3111,2014Q1,S08000030,"",S08000020,Lung,"",1,"",2,""
3112,2014Q1,S08000030,"",S08000020,All Cancer Types,d,1,"",2,""
3113,2014Q1,S08000030,"",S08000024,Lung,"",113,"",1,""
3114,2014Q1,S08000030,"",S08000024,All Cancer Types,d,113,"",1,""
3115,2014Q1,S08000030,"",S08000030,Breast,"",310,"",293,""
3116,2014Q1,S08000030,"",S08000030,Cervical,"",252,"",240,""
3117,2014Q1,S08000030,"",S08000030,Colorectal,"",198,"",161,""
3118,2014Q1,S08000030,"",S08000030,Head & Neck,"",316,"",279,""
3119,2014Q1,S08000030,"",S08000030,Lung,"",243,"",229,""
3120,2014Q1,S08000030,"",S08000030,Melanoma,"",368,"",331,""
3121,2014Q1,S08000030,"",S08000030,Ovarian,"",113,"",109,""
3122,2014Q1,S08000030,"",S08000030,Upper GI,"",219,"",211,""
3123,2014Q1,S08000030,"",S08000030,Urological,"",233,"",204,""
3124,2014Q1,S08000030,"",S08000030,All Cancer Types,d,127,"",103,""
3125,2014Q1,S08000031,"",S08000019,Breast,"",396,"",388,""
3126,2014Q1,S08000031,"",S08000019,All Cancer Types,d,396,"",388,""
3127,2014Q1,S08000031,"",S08000022,Lung,"",1,"",2,""
3128,2014Q1,S08000031,"",S08000022,All Cancer Types,d,1,"",2,""
3129,2014Q1,S08000031,"",S08000024,Upper GI,"",1,"",1,""
3130,2014Q1,S08000031,"",S08000024,All Cancer Types,d,1,"",1,""
3131,2014Q1,S08000031,"",S08000031,Breast,"",112,"",100,""
