_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
1374,2012Q4,S08000020,S08000020,"",Urological,"",37,"",31,""
1375,2012Q4,S08000020,S08000020,"",All Cancer Types,d,450,"",444,""
1376,2012Q4,S08000020,S08000024,"",Breast,"",1,"",2,""
1377,2012Q4,S08000020,S08000024,"",All Cancer Types,d,1,"",2,""
1378,2012Q4,S08000020,S08000030,"",Upper GI,"",1,"",2,""
1379,2012Q4,S08000020,S08000030,"",All Cancer Types,d,1,"",2,""
1380,2012Q4,S08000020,S92000003,d,Breast,"",29,"",30,""
1381,2012Q4,S08000020,S92000003,d,Cervical,"",423,"",424,""
1382,2012Q4,S08000020,S92000003,d,Colorectal,"",524,"",516,""
1383,2012Q4,S08000020,S92000003,d,Head & Neck,"",177,"",168,""
1384,2012Q4,S08000020,S92000003,d,Lung,"",522,"",515,""
1385,2012Q4,S08000020,S92000003,d,Lymphoma,"",81,"",97,""
1386,2012Q4,S08000020,S92000003,d,Melanoma,"",239,"",232,""
1387,2012Q4,S08000020,S92000003,d,Ovarian,"",511,"",504,""
1388,2012Q4,S08000020,S92000003,d,Upper GI,"",447,"",450,""
1389,2012Q4,S08000020,S92000003,d,Urological,"",37,"",31,""
1390,2012Q4,S08000020,S92000003,d,All Cancer Types,d,452,"",446,""
1391,2012Q4,S08000022,S08000020,"",Cervical,"",1,"",2,""
1392,2012Q4,S08000022,S08000020,"",Lung,"",352,"",353,""
1393,2012Q4,S08000022,S08000020,"",Lymphoma,"",1,"",2,""
1394,2012Q4,S08000022,S08000020,"",All Cancer Types,d,483,"",479,""
1395,2012Q4,S08000022,S08000022,"",Breast,"",509,"",497,""
1396,2012Q4,S08000022,S08000022,"",Colorectal,"",405,"",382,""
1397,2012Q4,S08000022,S08000022,"",Head & Neck,"",105,"",68,""
1398,2012Q4,S08000022,S08000022,"",Lung,"",447,"",417,""
1399,2012Q4,S08000022,S08000022,"",Lymphoma,"",121,"",114,""
1400,2012Q4,S08000022,S08000022,"",Melanoma,"",121,"",129,""
1401,2012Q4,S08000022,S08000022,"",Ovarian,"",352,"",353,""
1402,2012Q4,S08000022,S08000022,"",Upper GI,"",209,"",210,""
1403,2012Q4,S08000022,S08000022,"",Urological,"",400,"",375,""
1404,2012Q4,S08000022,S08000022,"",All Cancer Types,d,257,"",245,""
1405,2012Q4,S08000022,S08000024,"",Upper GI,"",1,"",2,""
1406,2012Q4,S08000022,S08000024,"",All Cancer Types,d,1,"",2,""
1407,2012Q4,S08000022,S08000031,"",Colorectal,"",260,"",265,""
1408,2012Q4,S08000022,S08000031,"",Lung,"",260,"",265,""
1409,2012Q4,S08000022,S08000031,"",Lymphoma,"",1,"",2,""
1410,2012Q4,S08000022,S08000031,"",Upper GI,"",260,"",265,""
1411,2012Q4,S08000022,S08000031,"",Urological,"",260,"",265,""
1412,2012Q4,S08000022,S08000031,"",All Cancer Types,d,35,"",38,""
1413,2012Q4,S08000022,S92000003,d,Breast,"",509,"",497,""
1414,2012Q4,S08000022,S92000003,d,Cervical,"",1,"",2,""
1415,2012Q4,S08000022,S92000003,d,Colorectal,"",431,"",408,""
1416,2012Q4,S08000022,S92000003,d,Head & Neck,"",105,"",68,""
1417,2012Q4,S08000022,S92000003,d,Lung,"",489,"",470,""
1418,2012Q4,S08000022,S92000003,d,Lymphoma,"",148,"",140,""
1419,2012Q4,S08000022,S92000003,d,Melanoma,"",121,"",129,""
1420,2012Q4,S08000022,S92000003,d,Ovarian,"",352,"",353,""
1421,2012Q4,S08000022,S92000003,d,Upper GI,"",250,"",254,""
1422,2012Q4,S08000022,S92000003,d,Urological,"",424,"",399,""
1423,2012Q4,S08000022,S92000003,d,All Cancer Types,d,280,"",269,""
1424,2012Q4,S08000022,SB0801,"",Lung,"",1,"",2,""
1425,2012Q4,S08000022,SB0801,"",All Cancer Types,d,1,"",2,""
1426,2012Q4,S08000024,S08000019,"",Breast,"",1,"",2,""
1427,2012Q4,S08000024,S08000019,"",All Cancer Types,d,1,"",2,""
1428,2012Q4,S08000024,S08000024,"",Breast,"",165,"",165,""
1429,2012Q4,S08000024,S08000024,"",Cervical,"",511,"",504,""
1430,2012Q4,S08000024,S08000024,"",Colorectal,"",66,"",72,""
1431,2012Q4,S08000024,S08000024,"",Head & Neck,"",376,"",369,""
1432,2012Q4,S08000024,S08000024,"",Lung,"",50,"",56,""
1433,2012Q4,S08000024,S08000024,"",Lymphoma,"",300,"",307,""
1434,2012Q4,S08000024,S08000024,"",Melanoma,"",321,"",314,""
1435,2012Q4,S08000024,S08000024,"",Ovarian,"",2,"",3,""
1436,2012Q4,S08000024,S08000024,"",Upper GI,"",15,"",16,""
1437,2012Q4,S08000024,S08000024,"",Urological,"",110,"",110,""
1438,2012Q4,S08000024,S08000024,"",All Cancer Types,d,569,"",558,""
1439,2012Q4,S08000024,S08000029,"",Breast,"",423,"",424,""
1440,2012Q4,S08000024,S08000029,"",All Cancer Types,d,423,"",424,""
1441,2012Q4,S08000024,S92000003,d,Breast,"",170,"",171,""
1442,2012Q4,S08000024,S92000003,d,Cervical,"",511,"",504,""
1443,2012Q4,S08000024,S92000003,d,Colorectal,"",66,"",72,""
1444,2012Q4,S08000024,S92000003,d,Head & Neck,"",376,"",369,""
1445,2012Q4,S08000024,S92000003,d,Lung,"",50,"",56,""
1446,2012Q4,S08000024,S92000003,d,Lymphoma,"",300,"",307,""
1447,2012Q4,S08000024,S92000003,d,Melanoma,"",321,"",314,""
1448,2012Q4,S08000024,S92000003,d,Ovarian,"",2,"",3,""
1449,2012Q4,S08000024,S92000003,d,Upper GI,"",15,"",16,""
1450,2012Q4,S08000024,S92000003,d,Urological,"",110,"",110,""
1451,2012Q4,S08000024,S92000003,d,All Cancer Types,d,571,"",559,""
1452,2012Q4,S08000025,S08000020,"",Lung,"",1,"",2,""
1453,2012Q4,S08000025,S08000020,"",Melanoma,"",1,"",2,""
1454,2012Q4,S08000025,S08000020,"",Ovarian,"",1,"",2,""
1455,2012Q4,S08000025,S08000020,"",Upper GI,"",260,"",265,""
1456,2012Q4,S08000025,S08000020,"",All Cancer Types,d,483,"",479,""
1457,2012Q4,S08000025,S08000025,"",Breast,"",157,"",158,""
1458,2012Q4,S08000025,S08000025,"",Colorectal,"",1,"",2,""
1459,2012Q4,S08000025,S08000025,"",Melanoma,"",1,"",2,""
1460,2012Q4,S08000025,S08000025,"",All Cancer Types,d,352,"",353,""
1461,2012Q4,S08000025,S92000003,d,Breast,"",157,"",158,""
1462,2012Q4,S08000025,S92000003,d,Colorectal,"",1,"",2,""
1463,2012Q4,S08000025,S92000003,d,Lung,"",1,"",2,""
1464,2012Q4,S08000025,S92000003,d,Melanoma,"",157,"",158,""
1465,2012Q4,S08000025,S92000003,d,Ovarian,"",1,"",2,""
1466,2012Q4,S08000025,S92000003,d,Upper GI,"",260,"",265,""
1467,2012Q4,S08000025,S92000003,d,All Cancer Types,d,2,"",3,""
1468,2012Q4,S08000026,S08000020,"",Colorectal,"",1,"",2,""
1469,2012Q4,S08000026,S08000020,"",Head & Neck,"",1,"",2,""
1470,2012Q4,S08000026,S08000020,"",Lung,"",157,"",158,""
1471,2012Q4,S08000026,S08000020,"",Lymphoma,"",260,"",265,""
1472,2012Q4,S08000026,S08000020,"",Upper GI,"",260,"",265,""
1473,2012Q4,S08000026,S08000020,"",Urological,"",260,"",265,""
1474,2012Q4,S08000026,S08000020,"",All Cancer Types,d,35,"",38,""
1475,2012Q4,S08000026,S08000026,"",Colorectal,"",35,"",38,""
1476,2012Q4,S08000026,S08000026,"",Lung,"",1,"",2,""
1477,2012Q4,S08000026,S08000026,"",Melanoma,"",1,"",2,""
1478,2012Q4,S08000026,S08000026,"",Upper GI,"",1,"",2,""
1479,2012Q4,S08000026,S08000026,"",Urological,"",423,"",424,""
1480,2012Q4,S08000026,S08000026,"",All Cancer Types,d,167,"",168,""
1481,2012Q4,S08000026,S92000003,d,Colorectal,"",53,"",68,""
1482,2012Q4,S08000026,S92000003,d,Head & Neck,"",1,"",2,""
1483,2012Q4,S08000026,S92000003,d,Lung,"",260,"",265,""
1484,2012Q4,S08000026,S92000003,d,Lymphoma,"",260,"",265,""
1485,2012Q4,S08000026,S92000003,d,Melanoma,"",1,"",2,""
1486,2012Q4,S08000026,S92000003,d,Upper GI,"",352,"",353,""
1487,2012Q4,S08000026,S92000003,d,Urological,"",538,"",527,""
1488,2012Q4,S08000026,S92000003,d,All Cancer Types,d,300,"",307,""
1489,2012Q4,S08000028,S08000022,"",Colorectal,"",157,"",2,""
1490,2012Q4,S08000028,S08000022,"",Head & Neck,"",1,"",2,""
1491,2012Q4,S08000028,S08000022,"",Lung,"",157,"",158,""
1492,2012Q4,S08000028,S08000022,"",Lymphoma,"",157,"",158,""
1493,2012Q4,S08000028,S08000022,"",Upper GI,"",1,"",2,""
1494,2012Q4,S08000028,S08000022,"",Urological,"",423,"",424,""
1495,2012Q4,S08000028,S08000022,"",All Cancer Types,d,35,"",25,""
1496,2012Q4,S08000028,S08000024,"",Upper GI,"",1,"",2,""
1497,2012Q4,S08000028,S08000024,"",All Cancer Types,d,1,"",2,""
1498,2012Q4,S08000028,S08000028,"",Colorectal,"",260,"",265,""
1499,2012Q4,S08000028,S08000028,"",Lung,"",260,"",265,""
1500,2012Q4,S08000028,S08000028,"",Melanoma,"",157,"",158,""
1501,2012Q4,S08000028,S08000028,"",Upper GI,"",157,"",158,""
1502,2012Q4,S08000028,S08000028,"",All Cancer Types,d,2,"",3,""
1503,2012Q4,S08000028,S08000031,"",Ovarian,"",1,"",2,""
1504,2012Q4,S08000028,S08000031,"",All Cancer Types,d,1,"",2,""
1505,2012Q4,S08000028,S92000003,d,Colorectal,"",423,"",353,""
1506,2012Q4,S08000028,S92000003,d,Head & Neck,"",1,"",2,""
1507,2012Q4,S08000028,S92000003,d,Lung,"",423,"",424,""
1508,2012Q4,S08000028,S92000003,d,Lymphoma,"",157,"",158,""
1509,2012Q4,S08000028,S92000003,d,Melanoma,"",157,"",158,""
1510,2012Q4,S08000028,S92000003,d,Ovarian,"",1,"",2,""
1511,2012Q4,S08000028,S92000003,d,Upper GI,"",352,"",353,""
1512,2012Q4,S08000028,S92000003,d,Urological,"",423,"",424,""
1513,2012Q4,S08000028,S92000003,d,All Cancer Types,d,209,"",199,""
1514,2012Q4,S08000029,S08000024,"",Cervical,"",1,"",2,""
1515,2012Q4,S08000029,S08000024,"",Colorectal,"",157,"",158,""
1516,2012Q4,S08000029,S08000024,"",Head & Neck,"",24,"",14,""
1517,2012Q4,S08000029,S08000024,"",Lung,"",272,"",266,""
1518,2012Q4,S08000029,S08000024,"",Lymphoma,"",1,"",1,""
1519,2012Q4,S08000029,S08000024,"",Melanoma,"",157,"",158,""
1520,2012Q4,S08000029,S08000024,"",Ovarian,"",260,"",265,""
1521,2012Q4,S08000029,S08000024,"",Upper GI,"",538,"",527,""
1522,2012Q4,S08000029,S08000024,"",Urological,"",157,"",158,""
1523,2012Q4,S08000029,S08000024,"",All Cancer Types,d,493,"",476,""
1524,2012Q4,S08000029,S08000029,"",Breast,"",353,"",354,""
1525,2012Q4,S08000029,S08000029,"",Cervical,"",260,"",265,""
1526,2012Q4,S08000029,S08000029,"",Colorectal,"",376,"",369,""
1527,2012Q4,S08000029,S08000029,"",Head & Neck,"",260,"",265,""
1528,2012Q4,S08000029,S08000029,"",Lung,"",292,"",298,""
1529,2012Q4,S08000029,S08000029,"",Lymphoma,"",35,"",38,""
1530,2012Q4,S08000029,S08000029,"",Melanoma,"",24,"",25,""
1531,2012Q4,S08000029,S08000029,"",Ovarian,"",572,"",562,""
1532,2012Q4,S08000029,S08000029,"",Upper GI,"",177,"",179,""
1533,2012Q4,S08000029,S08000029,"",Urological,"",550,"",534,""
1534,2012Q4,S08000029,S08000029,"",All Cancer Types,d,219,"",220,""
1535,2012Q4,S08000029,S08000030,"",Urological,"",1,"",2,""
1536,2012Q4,S08000029,S08000030,"",All Cancer Types,d,1,"",2,""
1537,2012Q4,S08000029,S92000003,d,Breast,"",353,"",354,""
1538,2012Q4,S08000029,S92000003,d,Cervical,"",352,"",353,""
1539,2012Q4,S08000029,S92000003,d,Colorectal,"",388,"",382,""
1540,2012Q4,S08000029,S92000003,d,Head & Neck,"",81,"",68,""
1541,2012Q4,S08000029,S92000003,d,Lung,"",500,"",489,""
1542,2012Q4,S08000029,S92000003,d,Lymphoma,"",53,"",38,""
1543,2012Q4,S08000029,S92000003,d,Melanoma,"",53,"",68,""
1544,2012Q4,S08000029,S92000003,d,Ovarian,"",24,"",25,""
1545,2012Q4,S08000029,S92000003,d,Upper GI,"",261,"",266,""
1546,2012Q4,S08000029,S92000003,d,Urological,"",558,"",542,""
1547,2012Q4,S08000029,S92000003,d,All Cancer Types,d,288,"",287,""
1548,2012Q4,S08000030,S08000020,"",Lung,"",157,"",158,""
1549,2012Q4,S08000030,S08000020,"",All Cancer Types,d,157,"",158,""
1550,2012Q4,S08000030,S08000024,"",Lung,"",538,"",527,""
1551,2012Q4,S08000030,S08000024,"",All Cancer Types,d,538,"",527,""
1552,2012Q4,S08000030,S08000030,"",Breast,"",8,"",9,""
1553,2012Q4,S08000030,S08000030,"",Cervical,"",352,"",353,""
1554,2012Q4,S08000030,S08000030,"",Colorectal,"",501,"",489,""
1555,2012Q4,S08000030,S08000030,"",Head & Neck,"",167,"",168,""
1556,2012Q4,S08000030,S08000030,"",Lung,"",518,"",506,""
1557,2012Q4,S08000030,S08000030,"",Lymphoma,"",137,"",140,""
1558,2012Q4,S08000030,S08000030,"",Melanoma,"",272,"",243,""
1559,2012Q4,S08000030,S08000030,"",Ovarian,"",24,"",25,""
1560,2012Q4,S08000030,S08000030,"",Upper GI,"",431,"",433,""
1561,2012Q4,S08000030,S08000030,"",Urological,"",8,"",581,""
1562,2012Q4,S08000030,S08000030,"",All Cancer Types,d,410,"",401,""
1563,2012Q4,S08000030,S92000003,d,Breast,"",8,"",9,""
1564,2012Q4,S08000030,S92000003,d,Cervical,"",352,"",353,""
1565,2012Q4,S08000030,S92000003,d,Colorectal,"",501,"",489,""
1566,2012Q4,S08000030,S92000003,d,Head & Neck,"",167,"",168,""
1567,2012Q4,S08000030,S92000003,d,Lung,"",545,"",534,""
1568,2012Q4,S08000030,S92000003,d,Lymphoma,"",137,"",140,""
1569,2012Q4,S08000030,S92000003,d,Melanoma,"",272,"",243,""
1570,2012Q4,S08000030,S92000003,d,Ovarian,"",24,"",25,""
1571,2012Q4,S08000030,S92000003,d,Upper GI,"",431,"",433,""
1572,2012Q4,S08000030,S92000003,d,Urological,"",8,"",581,""
1573,2012Q4,S08000030,S92000003,d,All Cancer Types,d,418,"",411,""
1574,2012Q4,S08000031,S08000022,"",Colorectal,"",260,"",265,""
1575,2012Q4,S08000031,S08000022,"",All Cancer Types,d,260,"",265,""
1576,2012Q4,S08000031,S08000024,"",Upper GI,"",260,"",265,""
1577,2012Q4,S08000031,S08000024,"",Urological,"",1,"",2,""
1578,2012Q4,S08000031,S08000024,"",All Cancer Types,d,352,"",353,""
1579,2012Q4,S08000031,S08000031,"",Breast,"",329,"",327,""
1580,2012Q4,S08000031,S08000031,"",Cervical,"",538,"",527,""
1581,2012Q4,S08000031,S08000031,"",Colorectal,"",138,"",134,""
1582,2012Q4,S08000031,S08000031,"",Head & Neck,"",558,"",553,""
1583,2012Q4,S08000031,S08000031,"",Lung,"",230,"",234,""
1584,2012Q4,S08000031,S08000031,"",Lymphoma,"",489,"",484,""
1585,2012Q4,S08000031,S08000031,"",Melanoma,"",424,"",425,""
1586,2012Q4,S08000031,S08000031,"",Ovarian,"",511,"",504,""
1587,2012Q4,S08000031,S08000031,"",Upper GI,"",75,"",93,""
1588,2012Q4,S08000031,S08000031,"",Urological,"",249,"",239,""
1589,2012Q4,S08000031,S08000031,"",All Cancer Types,d,72,"",83,""
1590,2012Q4,S08000031,S08000032,"",Breast,"",53,"",68,""
1591,2012Q4,S08000031,S08000032,"",All Cancer Types,d,53,"",68,""
1592,2012Q4,S08000031,S92000003,d,Breast,"",341,"",340,""
1593,2012Q4,S08000031,S92000003,d,Cervical,"",538,"",527,""
1594,2012Q4,S08000031,S92000003,d,Colorectal,"",141,"",137,""
1595,2012Q4,S08000031,S92000003,d,Head & Neck,"",558,"",553,""
1596,2012Q4,S08000031,S92000003,d,Lung,"",278,"",283,""
1597,2012Q4,S08000031,S92000003,d,Lymphoma,"",489,"",484,""
1598,2012Q4,S08000031,S92000003,d,Melanoma,"",424,"",425,""
1599,2012Q4,S08000031,S92000003,d,Ovarian,"",511,"",504,""
1600,2012Q4,S08000031,S92000003,d,Upper GI,"",86,"",98,""
1601,2012Q4,S08000031,S92000003,d,Urological,"",252,"",241,""
1602,2012Q4,S08000031,S92000003,d,All Cancer Types,d,92,"",100,""
1603,2012Q4,S08000031,SB0801,"",Lung,"",381,"",375,""
1604,2012Q4,S08000031,SB0801,"",Urological,"",1,"",2,""
1605,2012Q4,S08000031,SB0801,"",All Cancer Types,d,388,"",382,""
1606,2012Q4,S08000032,S08000024,"",Upper GI,"",1,"",2,""
1607,2012Q4,S08000032,S08000024,"",Urological,"",1,"",2,""
1608,2012Q4,S08000032,S08000024,"",All Cancer Types,d,157,"",158,""
1609,2012Q4,S08000032,S08000031,"",Breast,"",1,"",2,""
1610,2012Q4,S08000032,S08000031,"",Cervical,"",511,"",424,""
1611,2012Q4,S08000032,S08000031,"",Colorectal,"",538,"",527,""
1612,2012Q4,S08000032,S08000031,"",Head & Neck,"",511,"",504,""
1613,2012Q4,S08000032,S08000031,"",Lung,"",158,"",159,""
1614,2012Q4,S08000032,S08000031,"",Lymphoma,"",260,"",265,""
1615,2012Q4,S08000032,S08000031,"",Melanoma,"",483,"",424,""
1616,2012Q4,S08000032,S08000031,"",Ovarian,"",572,"",527,""
1617,2012Q4,S08000032,S08000031,"",Upper GI,"",24,"",14,""
1618,2012Q4,S08000032,S08000031,"",Urological,"",352,"",353,""
1619,2012Q4,S08000032,S08000031,"",All Cancer Types,d,531,"",510,""
1620,2012Q4,S08000032,S08000032,"",Breast,"",514,"",506,""
1621,2012Q4,S08000032,S08000032,"",Cervical,"",423,"",424,""
1622,2012Q4,S08000032,S08000032,"",Colorectal,"",512,"",501,""
1623,2012Q4,S08000032,S08000032,"",Head & Neck,"",158,"",159,""
1624,2012Q4,S08000032,S08000032,"",Lung,"",415,"",417,""
1625,2012Q4,S08000032,S08000032,"",Lymphoma,"",188,"",190,""
1626,2012Q4,S08000032,S08000032,"",Melanoma,"",177,"",168,""
1627,2012Q4,S08000032,S08000032,"",Ovarian,"",423,"",424,""
1628,2012Q4,S08000032,S08000032,"",Upper GI,"",310,"",314,""
1629,2012Q4,S08000032,S08000032,"",Urological,"",5,"",563,""
1630,2012Q4,S08000032,S08000032,"",All Cancer Types,d,354,"",344,""
1631,2012Q4,S08000032,S92000003,d,Breast,"",518,"",510,""
1632,2012Q4,S08000032,S92000003,d,Cervical,"",24,"",3,""
1633,2012Q4,S08000032,S92000003,d,Colorectal,"",533,"",521,""
1634,2012Q4,S08000032,S92000003,d,Head & Neck,"",228,"",232,""
1635,2012Q4,S08000032,S92000003,d,Lung,"",573,"",563,""
1636,2012Q4,S08000032,S92000003,d,Lymphoma,"",218,"",221,""
1637,2012Q4,S08000032,S92000003,d,Melanoma,"",239,"",221,""
1638,2012Q4,S08000032,S92000003,d,Ovarian,"",53,"",38,""
1639,2012Q4,S08000032,S92000003,d,Upper GI,"",405,"",399,""
1640,2012Q4,S08000032,S92000003,d,Urological,"",10,"",575,""
1641,2012Q4,S08000032,S92000003,d,All Cancer Types,d,426,"",412,""
1642,2012Q4,S08000032,SB0801,"",Lung,"",167,"",168,""
1643,2012Q4,S08000032,SB0801,"",All Cancer Types,d,167,"",168,""
1644,2013Q1,S08000015,S08000015,"",Breast,"",562,"",557,""
1645,2013Q1,S08000015,S08000015,"",Cervical,"",157,"",158,""
1646,2013Q1,S08000015,S08000015,"",Colorectal,"",474,"",474,""
1647,2013Q1,S08000015,S08000015,"",Head & Neck,"",137,"",129,""
1648,2013Q1,S08000015,S08000015,"",Lung,"",431,"",425,""
1649,2013Q1,S08000015,S08000015,"",Lymphoma,"",2,"",3,""
1650,2013Q1,S08000015,S08000015,"",Melanoma,"",121,"",129,""
1651,2013Q1,S08000015,S08000015,"",Ovarian,"",260,"",265,""
1652,2013Q1,S08000015,S08000015,"",Upper GI,"",292,"",298,""
1653,2013Q1,S08000015,S08000015,"",Urological,"",574,"",557,""
1654,2013Q1,S08000015,S08000015,"",All Cancer Types,d,332,"",326,""
1655,2013Q1,S08000015,S08000024,"",Upper GI,"",157,"",2,""
1656,2013Q1,S08000015,S08000024,"",All Cancer Types,d,157,"",2,""
1657,2013Q1,S08000015,S08000031,"",Breast,"",1,"",1,""
1658,2013Q1,S08000015,S08000031,"",Colorectal,"",352,"",353,""
1659,2013Q1,S08000015,S08000031,"",Lung,"",239,"",243,""
1660,2013Q1,S08000015,S08000031,"",Ovarian,"",1,"",2,""
1661,2013Q1,S08000015,S08000031,"",Upper GI,"",2,"",3,""
1662,2013Q1,S08000015,S08000031,"",Urological,"",148,"",129,""
1663,2013Q1,S08000015,S08000031,"",All Cancer Types,d,496,"",480,""
1664,2013Q1,S08000015,S92000003,d,Breast,"",568,"",557,""
1665,2013Q1,S08000015,S92000003,d,Cervical,"",157,"",158,""
1666,2013Q1,S08000015,S92000003,d,Colorectal,"",493,"",486,""
1667,2013Q1,S08000015,S92000003,d,Head & Neck,"",137,"",129,""
1668,2013Q1,S08000015,S92000003,d,Lung,"",577,"",568,""
1669,2013Q1,S08000015,S92000003,d,Lymphoma,"",2,"",3,""
1670,2013Q1,S08000015,S92000003,d,Melanoma,"",121,"",129,""
1671,2013Q1,S08000015,S92000003,d,Ovarian,"",352,"",353,""
1672,2013Q1,S08000015,S92000003,d,Upper GI,"",388,"",375,""
1673,2013Q1,S08000015,S92000003,d,Urological,"",14,"",9,""
1674,2013Q1,S08000015,S92000003,d,All Cancer Types,d,389,"",376,""
1675,2013Q1,S08000015,SB0801,"",Lung,"",53,"",68,""
1676,2013Q1,S08000015,SB0801,"",All Cancer Types,d,53,"",68,""
1677,2013Q1,S08000016,S08000016,"",Breast,"",188,"",190,""
1678,2013Q1,S08000016,S08000016,"",Colorectal,"",35,"",38,""
1679,2013Q1,S08000016,S08000016,"",Head & Neck,"",1,"",2,""
1680,2013Q1,S08000016,S08000016,"",Lung,"",2,"",3,""
1681,2013Q1,S08000016,S08000016,"",Lymphoma,"",538,"",527,""
1682,2013Q1,S08000016,S08000016,"",Melanoma,"",511,"",504,""
1683,2013Q1,S08000016,S08000016,"",Ovarian,"",13,"",14,""
1684,2013Q1,S08000016,S08000016,"",Upper GI,"",13,"",14,""
1685,2013Q1,S08000016,S08000016,"",Urological,"",239,"",243,""
1686,2013Q1,S08000016,S08000016,"",All Cancer Types,d,16,"",17,""
1687,2013Q1,S08000016,S08000024,"",Cervical,"",1,"",2,""
1688,2013Q1,S08000016,S08000024,"",Colorectal,"",1,"",2,""
1689,2013Q1,S08000016,S08000024,"",Head & Neck,"",483,"",479,""
1690,2013Q1,S08000016,S08000024,"",Lung,"",538,"",527,""
1691,2013Q1,S08000016,S08000024,"",Ovarian,"",1,"",2,""
1692,2013Q1,S08000016,S08000024,"",Upper GI,"",538,"",527,""
1693,2013Q1,S08000016,S08000024,"",Urological,"",157,"",158,""
1694,2013Q1,S08000016,S08000024,"",All Cancer Types,d,228,"",232,""
1695,2013Q1,S08000016,S92000003,d,Breast,"",188,"",190,""
1696,2013Q1,S08000016,S92000003,d,Cervical,"",1,"",2,""
1697,2013Q1,S08000016,S92000003,d,Colorectal,"",53,"",68,""
1698,2013Q1,S08000016,S92000003,d,Head & Neck,"",511,"",504,""
1699,2013Q1,S08000016,S92000003,d,Lung,"",137,"",140,""
1700,2013Q1,S08000016,S92000003,d,Lymphoma,"",538,"",527,""
1701,2013Q1,S08000016,S92000003,d,Melanoma,"",511,"",504,""
1702,2013Q1,S08000016,S92000003,d,Ovarian,"",24,"",25,""
1703,2013Q1,S08000016,S92000003,d,Upper GI,"",148,"",150,""
1704,2013Q1,S08000016,S92000003,d,Urological,"",261,"",266,""
1705,2013Q1,S08000016,S92000003,d,All Cancer Types,d,52,"",63,""
1706,2013Q1,S08000017,S08000017,"",Breast,"",228,"",232,""
1707,2013Q1,S08000017,S08000017,"",Cervical,"",1,"",2,""
1708,2013Q1,S08000017,S08000017,"",Colorectal,"",177,"",179,""
1709,2013Q1,S08000017,S08000017,"",Head & Neck,"",1,"",2,""
1710,2013Q1,S08000017,S08000017,"",Lung,"",158,"",159,""
1711,2013Q1,S08000017,S08000017,"",Lymphoma,"",35,"",38,""
1712,2013Q1,S08000017,S08000017,"",Melanoma,"",2,"",3,""
1713,2013Q1,S08000017,S08000017,"",Ovarian,"",423,"",353,""
1714,2013Q1,S08000017,S08000017,"",Upper GI,"",121,"",129,""
1715,2013Q1,S08000017,S08000017,"",Urological,"",300,"",288,""
1716,2013Q1,S08000017,S08000017,"",All Cancer Types,d,82,"",90,""
1717,2013Q1,S08000017,S08000024,"",Breast,"",1,"",2,""
1718,2013Q1,S08000017,S08000024,"",Cervical,"",157,"",158,""
1719,2013Q1,S08000017,S08000024,"",Colorectal,"",1,"",2,""
1720,2013Q1,S08000017,S08000024,"",Head & Neck,"",157,"",158,""
1721,2013Q1,S08000017,S08000024,"",Lung,"",157,"",158,""
1722,2013Q1,S08000017,S08000024,"",Melanoma,"",1,"",2,""
1723,2013Q1,S08000017,S08000024,"",Ovarian,"",1,"",2,""
1724,2013Q1,S08000017,S08000024,"",Upper GI,"",260,"",265,""
1725,2013Q1,S08000017,S08000024,"",Urological,"",35,"",38,""
1726,2013Q1,S08000017,S08000024,"",All Cancer Types,d,218,"",221,""
1727,2013Q1,S08000017,S08000031,"",Upper GI,"",1,"",2,""
1728,2013Q1,S08000017,S08000031,"",All Cancer Types,d,1,"",2,""
1729,2013Q1,S08000017,S92000003,d,Breast,"",239,"",243,""
1730,2013Q1,S08000017,S92000003,d,Cervical,"",260,"",265,""
1731,2013Q1,S08000017,S92000003,d,Colorectal,"",188,"",190,""
1732,2013Q1,S08000017,S92000003,d,Head & Neck,"",260,"",265,""
1733,2013Q1,S08000017,S92000003,d,Lung,"",188,"",190,""
1734,2013Q1,S08000017,S92000003,d,Lymphoma,"",35,"",38,""
1735,2013Q1,S08000017,S92000003,d,Melanoma,"",13,"",14,""
1736,2013Q1,S08000017,S92000003,d,Ovarian,"",483,"",424,""
1737,2013Q1,S08000017,S92000003,d,Upper GI,"",167,"",168,""
1738,2013Q1,S08000017,S92000003,d,Urological,"",400,"",382,""
1739,2013Q1,S08000017,S92000003,d,All Cancer Types,d,135,"",135,""
1740,2013Q1,S08000017,SB0801,"",Lung,"",1,"",2,""
1741,2013Q1,S08000017,SB0801,"",All Cancer Types,d,1,"",2,""
1742,2013Q1,S08000019,S08000019,"",Breast,"",321,"",307,""
1743,2013Q1,S08000019,S08000019,"",Colorectal,"",447,"",433,""
1744,2013Q1,S08000019,S08000019,"",Head & Neck,"",157,"",158,""
1745,2013Q1,S08000019,S08000019,"",Lung,"",239,"",243,""
1746,2013Q1,S08000019,S08000019,"",Lymphoma,"",572,"",562,""
1747,2013Q1,S08000019,S08000019,"",Melanoma,"",13,"",14,""
1748,2013Q1,S08000019,S08000019,"",Ovarian,"",1,"",2,""
1749,2013Q1,S08000019,S08000019,"",Upper GI,"",239,"",243,""
